tracking_id,start_frame,middle_frame,end_frame,first_crossed,speed,start_to_mid_speed,mid_to_end_speed,acceleration,average_vertical_distances,valid
2,13,,,bottom,,,,,{},False
7,13,,,bottom,,,,,{},False
3,16,,,bottom,,,,,{},False
8,28,63,89,top,88.52,77.14,103.85,30.81,"{8: 0.0, 6: 24.649999618530273, 15: 43.4900016784668}",True
6,60,,,bottom,,,,,{},False
12,80,,,bottom,,,,,{},False
15,83,,,top,,,,,{},False
16,90,,,bottom,,,,,{},False
19,130,153,174,top,122.73,117.39,128.57,15.97,"{19: 0.0, 21: 12.149999618530273, 17: 28.25}",True
21,134,169,196,top,87.1,77.14,100.0,25.4,"{21: 0.0, 19: 12.5, 17: 36.9900016784668}",True
17,148,,,bottom,,,,,{},False
23,199,247,268,top,78.26,56.25,128.57,103.32,"{23: 0.0, 26: 2.2100000381469727, 25: 13.899999618530273, 29: 12.529999732971191, 28: 21.719999313354492}",True
25,207,,,bottom,,,,,{},False
26,211,245,271,top,90.0,79.41,103.85,28.19,"{26: 0.0, 25: 21.829999923706055, 23: 2.2799999713897705, 29: 10.90999984741211, 28: 19.18000030517578}",True
29,235,358,,bottom,,,,,{},False
28,247,,,bottom,,,,,{},False
36,272,311,342,top,77.14,69.23,87.1,17.29,"{26: 48.7400016784668, 36: 0.0, 29: 16.709999084472656, 25: 26.670000076293945, 40: 5.059999942779541, 37: 22.770000457763672, 39: 6.670000076293945}",True
38,273,,,bottom,,,,,{},False
40,293,317,336,top,125.58,112.5,142.11,46.75,"{36: 5.090000152587891, 29: 14.260000228881836, 25: 30.010000228881836, 40: 0.0, 39: 4.800000190734863}",True
37,311,,,bottom,,,,,{},False
39,332,,,bottom,,,,,{},False
48,350,373,391,top,131.71,117.39,150.0,54.35,"{48: 0.0, 29: 11.600000381469727, 49: 18.579999923706055, 47: 35.70000076293945, 50: 24.440000534057617}",True
49,359,399,428,top,78.26,67.5,93.1,26.49,"{49: 0.0, 48: 19.440000534057617, 29: 10.729999542236328, 50: 3.5299999713897705, 52: 13.699999809265137, 53: 5.21999979019165}",True
47,362,,,bottom,,,,,{},False
