tracking_id,start_frame,middle_frame,end_frame,first_crossed,speed,start_to_mid_speed,mid_to_end_speed,acceleration,average_vertical_distances,valid
1,6,,,bottom,,,,,{},False
5,32,,,bottom,,,,,{},False
4,34,,,bottom,,,,,{},False
11,35,,,bottom,,,,,{},False
22,57,,,bottom,,,,,{},False
25,65,,,bottom,,,,,{},False
32,84,116,151,top,123.58,129.38,118.29,-7.29,"{32: 0.0, 38: 26.63, 37: 55.3, 43: 20.6, 42: 24.17, 40: 77.47}",True
38,104,137,169,top,127.38,125.45,129.38,2.82,"{32: 26.51, 38: 0.0, 37: 81.62, 43: 26.83, 42: 50.15, 40: 48.32, 53: 9.31}",True
37,109,,,bottom,,,,,{},False
43,115,,,bottom,,,,,{},False
42,133,,,bottom,,,,,{},False
40,136,,,top,,,,,{},False
53,163,,,bottom,,,,,{},False
61,180,229,,bottom,,,,,{},False
60,195,,,bottom,,,,,{},False
63,203,,,bottom,,,,,{},False
87,246,,,top,,,,,{},False
71,253,,,bottom,,,,,{},False
91,262,,,bottom,,,,,{},False
102,268,,,bottom,,,,,{},False
108,287,,,bottom,,,,,{},False
111,311,,,bottom,,,,,{},False
114,313,,,bottom,,,,,{},False
117,318,352,,bottom,,,,,{},False
121,327,,,bottom,,,,,{},False
126,352,,,bottom,,,,,{},False
119,389,,,bottom,,,,,{},False
137,481,516,,top,,,,,{},False
139,498,541,575,top,107.53,96.28,121.76,17.24,"{139: 0.0, 137: 26.64, 145: 35.46}",True
145,548,,,bottom,,,,,{},False
154,583,,,top,,,,,{},False
147,586,,,bottom,,,,,{},False
160,593,,,bottom,,,,,{},False
156,597,,,bottom,,,,,{},False
170,608,657,702,top,88.09,84.49,92.0,3.84,"{170: 0.0, 167: 89.43, 173: 37.95, 171: 66.96, 180: 55.31, 187: 54.58, 183: 80.88, 191: 16.33, 200: 89.42}",True
167,614,,,bottom,,,,,{},False
173,617,739,781,top,50.49,33.93,98.57,35.4,"{170: 39.09, 173: 0.0, 171: 72.29, 183: 25.22, 191: 73.47, 208: 46.99, 219: 39.32, 222: 12.43, 230: 83.71}",True
171,635,,,bottom,,,,,{},False
180,647,,,bottom,,,,,{},False
187,657,,,top,,,,,{},False
183,686,,,top,,,,,{},False
191,687,,,bottom,,,,,{},False
200,698,,,top,,,,,{},False
208,736,,,bottom,,,,,{},False
219,745,,,bottom,,,,,{},False
222,770,,,bottom,,,,,{},False
230,773,,,top,,,,,{},False
212,785,,,bottom,,,,,{},False
227,795,,,bottom,,,,,{},False
242,806,840,,top,,,,,{},False
247,821,,,bottom,,,,,{},False
257,828,,,top,,,,,{},False
263,839,,,bottom,,,,,{},False
252,842,,,bottom,,,,,{},False
249,843,,,bottom,,,,,{},False
270,871,,,bottom,,,,,{},False
256,873,,,bottom,,,,,{},False
274,877,919,956,top,104.81,98.57,111.89,8.28,"{274: 0.0, 265: 50.94, 286: 40.12, 288: 54.84, 298: 91.27}",True
265,915,,,bottom,,,,,{},False
286,923,,,bottom,,,,,{},False
288,926,,,top,,,,,{},False
298,951,,,top,,,,,{},False
307,962,1046,1087,top,66.24,49.29,100.98,29.0,"{307: 0.0, 305: 60.55, 313: 56.52, 333: 85.15, 331: 4.96}",True
287,983,,,bottom,,,,,{},False
301,984,,,bottom,,,,,{},False
303,989,,,bottom,,,,,{},False
305,1031,,,bottom,,,,,{},False
313,1035,,,bottom,,,,,{},False
333,1078,,,top,,,,,{},False
331,1083,,,bottom,,,,,{},False
322,1099,,,top,,,,,{},False
339,1117,,,bottom,,,,,{},False
355,1160,1207,1245,bottom,97.41,88.09,108.95,12.63,"{355: 0.0, 344: 8.76, 348: 12.2, 366: 17.48, 349: 48.98, 376: 58.27, 386: 20.85}",True
344,1167,,,bottom,,,,,{},False
348,1170,,,bottom,,,,,{},False
366,1177,,,bottom,,,,,{},False
349,1203,,,bottom,,,,,{},False
376,1213,,,bottom,,,,,{},False
386,1220,,,top,,,,,{},False
377,1245,,,bottom,,,,,{},False
392,1253,1300,1338,top,97.41,88.09,108.95,12.63,"{392: 0.0, 395: 3.87, 381: 82.04, 396: 69.72, 403: 54.65, 405: 36.79, 407: 9.56}",True
395,1265,1301,1334,top,120.0,115.0,125.45,7.29,"{381: 91.08, 395: 0.0, 392: 3.71, 396: 75.85, 403: 56.62, 405: 37.15}",True
381,1266,,,bottom,,,,,{},False
396,1276,,,bottom,,,,,{},False
