tracking_id,start_frame,middle_frame,end_frame,first_crossed,speed,start_to_mid_speed,mid_to_end_speed,acceleration,average_vertical_distances,valid
1,0,,,top,,,,,{},False
2,35,82,114,bottom,113.92,95.74,140.62,35.06,"{2: 0.0, 3: 50.16999816894531}",True
3,79,122,151,bottom,125.0,104.65,155.17,43.55,"{3: 0.0, 2: 50.720001220703125, 4: 59.900001525878906, 5: 71.55000305175781}",True
4,126,169,197,bottom,126.76,104.65,160.71,50.06,"{3: 60.63999938964844, 4: 0.0, 5: 17.510000228881836}",True
5,133,186,221,bottom,102.27,84.91,128.57,31.19,"{5: 0.0, 3: 73.0999984741211, 4: 18.420000076293945}",True
7,235,290,325,bottom,100.0,81.82,128.57,33.4,"{7: 0.0, 8: 17.459999084472656, 9: 52.84000015258789, 10: 53.22999954223633, 11: 89.12000274658203}",True
8,251,306,343,bottom,97.83,81.82,121.62,26.89,"{8: 0.0, 7: 17.780000686645508, 9: 34.720001220703125, 10: 33.29999923706055, 11: 69.12999725341797}",True
9,287,339,374,bottom,103.45,86.54,128.57,30.02,"{8: 35.08000183105469, 9: 0.0, 7: 53.650001525878906, 10: 5.150000095367432, 11: 32.540000915527344, 12: 65.13999938964844, 13: 64.86000061035156, 14: 83.16000366210938}",True
10,290,335,364,bottom,121.62,100.0,155.17,47.56,"{10: 0.0, 8: 33.22999954223633, 7: 53.619998931884766, 9: 4.78000020980835, 11: 39.529998779296875, 12: 75.45999908447266, 13: 74.80999755859375}",True
11,321,367,395,bottom,121.62,97.83,160.71,56.15,"{11: 0.0, 10: 40.25, 8: 69.7699966430664, 9: 32.58000183105469, 7: 90.12999725341797, 12: 34.2599983215332, 13: 35.40999984741211, 14: 55.47999954223633}",True
12,350,393,422,bottom,125.0,104.65,155.17,43.55,"{12: 0.0, 11: 34.790000915527344, 9: 65.45999908447266, 10: 76.58000183105469, 13: 3.6700000762939453, 14: 23.940000534057617}",True
13,350,397,428,bottom,115.38,95.74,145.16,39.85,"{12: 3.9600000381469727, 11: 36.040000915527344, 9: 65.29000091552734, 10: 75.80999755859375, 13: 0.0, 14: 19.969999313354492, 18: 84.4000015258789}",True
14,365,413,446,bottom,111.11,93.75,136.36,32.28,"{14: 0.0, 12: 24.610000610351562, 11: 56.619998931884766, 9: 84.0, 10: 97.0199966430664, 13: 20.309999465942383, 18: 65.9000015258789, 19: 88.27999877929688}",True
18,421,473,508,bottom,103.45,86.54,128.57,30.02,"{12: 94.87000274658203, 14: 66.70999908447266, 18: 0.0, 13: 86.19999694824219, 19: 17.059999465942383, 20: 34.36000061035156, 21: 47.70000076293945, 22: 69.4000015258789}",True
19,442,487,516,bottom,121.62,100.0,155.17,47.56,"{19: 0.0, 14: 89.54000091552734, 18: 16.899999618530273, 20: 18.389999389648438, 21: 32.470001220703125, 22: 55.290000915527344}",True
20,455,503,534,bottom,113.92,93.75,145.16,41.46,"{20: 0.0, 19: 18.860000610351562, 18: 34.619998931884766, 21: 14.359999656677246, 22: 35.650001525878906}",True
21,466,515,548,bottom,109.76,91.84,136.36,33.73,"{21: 0.0, 20: 14.710000038146973, 19: 33.2400016784668, 18: 48.209999084472656, 22: 20.31999969482422}",True
