tracking_id,start_frame,middle_frame,end_frame,first_crossed,speed,start_to_mid_speed,mid_to_end_speed,acceleration,average_vertical_distances,valid
5,2,,,top,,,,,{},False
1,6,,,top,,,,,{},False
3,7,,,bottom,,,,,{},False
2,19,,,bottom,,,,,{},False
9,24,54,87,bottom,68.57,72.0,65.45,-4.76,"{9: 0.0, 15: 17.81, 14: 17.15, 17: 11.65}",True
15,56,68,79,top,187.83,180.0,196.36,35.7,"{15: 0.0, 14: 0.71, 9: 16.56, 17: 32.65}",True
14,56,68,,top,,,,,{},False
17,72,84,94,top,196.36,180.0,216.0,86.4,"{14: 31.32, 15: 32.83, 9: 16.93, 17: 0.0, 18: 2.01}",True
18,91,117,147,bottom,77.14,83.08,72.0,-8.86,"{17: 2.4, 18: 0.0, 19: 16.21, 21: 36.18}",True
19,102,113,123,top,205.71,196.36,216.0,47.13,"{18: 15.53, 19: 0.0}",True
21,136,162,191,bottom,78.55,83.08,74.48,-7.11,"{21: 0.0, 18: 35.47, 20: 15.09, 22: 2.72, 24: 41.57}",True
20,152,,,bottom,,,,,{},False
22,186,198,209,top,187.83,180.0,196.36,35.7,"{21: 7.56, 22: 0.0, 24: 19.45, 26: 21.76, 28: 7.4}",True
24,186,211,235,bottom,88.16,86.4,90.0,3.6,"{21: 40.89, 22: 19.62, 24: 0.0, 26: 18.21, 28: 21.72, 29: 15.07, 33: 32.64, 36: 2.52, 37: 1.98}",True
26,196,210,222,top,166.15,154.29,180.0,51.43,"{26: 0.0, 22: 22.03, 24: 17.51, 28: 16.38, 29: 25.74}",True
28,202,245,286,bottom,51.43,50.23,52.68,1.43,"{28: 0.0, 22: 5.85, 26: 15.14, 24: 22.48, 29: 17.98, 33: 4.21, 36: 15.01, 37: 15.3, 38: 16.42, 40: 11.17, 42: 9.89, 43: 7.45, 44: 42.98, 45: 41.1}",True
29,209,227,242,top,130.91,120.0,144.0,38.4,"{28: 17.61, 29: 0.0, 26: 26.04, 24: 18.02, 33: 12.51, 36: 28.95, 37: 33.49}",True
33,221,247,275,bottom,80.0,83.08,77.14,-5.09,"{28: 4.08, 26: 2.1, 33: 0.0, 29: 13.3, 24: 32.41, 36: 17.11, 32: 14.97, 37: 17.09, 38: 18.74, 40: 5.24, 42: 1.76, 43: 1.31}",True
36,231,244,256,top,172.8,166.15,180.0,27.69,"{29: 28.61, 28: 14.39, 33: 16.51, 36: 0.0, 24: 6.35, 32: 41.32, 37: 4.38, 38: 34.24}",True
37,234,247,258,top,180.0,166.15,196.36,65.91,"{29: 33.09, 28: 14.55, 32: 46.27, 33: 16.34, 37: 0.0, 36: 4.32, 24: 4.62, 38: 31.01}",True
32,235,,,bottom,,,,,{},False
38,250,262,273,top,187.83,180.0,196.36,35.7,"{28: 15.38, 36: 34.43, 37: 31.13, 38: 0.0, 33: 17.55, 40: 32.74}",True
40,265,282,298,top,130.91,127.06,135.0,11.91,"{28: 16.36, 38: 33.15, 40: 0.0, 33: 8.3, 42: 4.36, 43: 9.32, 44: 11.6, 45: 11.6}",True
42,272,285,296,top,180.0,166.15,196.36,65.91,"{28: 16.84, 38: 44.92, 42: 0.0, 40: 4.23, 33: 5.99, 43: 6.0, 44: 14.79, 45: 13.86}",True
43,274,288,301,top,160.0,154.29,166.15,21.91,"{28: 13.63, 43: 0.0, 42: 6.15, 40: 9.08, 33: 4.43, 44: 16.33, 45: 15.75}",True
44,280,322,365,bottom,50.82,51.43,50.23,-0.67,"{44: 0.0, 45: 9.98, 28: 40.03, 42: 13.34, 43: 15.15, 40: 10.73, 46: 9.69, 41: 25.11, 47: 15.49, 48: 16.44, 49: 16.51}",True
45,280,305,331,bottom,84.71,86.4,83.08,-3.07,"{44: 9.3, 45: 0.0, 28: 36.09, 42: 12.88, 43: 14.99, 40: 11.17, 46: 31.15, 41: 11.65, 48: 7.32, 47: 8.9, 49: 2.85}",True
46,316,340,366,bottom,86.4,90.0,83.08,-6.39,"{44: 9.53, 46: 0.0, 45: 30.53, 41: 43.77, 47: 18.3, 48: 18.89, 49: 16.73}",True
41,317,,,top,,,,,{},False
47,318,331,342,top,180.0,166.15,196.36,65.91,"{44: 14.63, 46: 17.95, 48: 5.16, 45: 14.72, 47: 0.0, 41: 4.39, 49: 15.5}",True
