tracking_id,start_frame,middle_frame,end_frame,first_crossed,speed,start_to_mid_speed,mid_to_end_speed,acceleration,average_vertical_distances,valid
1,63,,,top,,,,,{},False
3,87,146,183,bottom,93.75,76.27,121.62,122.57,"{3: 0.0, 4: 1.68}",True
4,176,,,top,,,,,{},False
6,450,486,526,bottom,118.42,125.0,112.5,-31.25,{6: 0.0},True
7,623,,,top,,,,,{},False
9,630,665,701,bottom,126.76,128.57,125.0,-9.92,{9: 0.0},True
17,869,,,top,,,,,{},False
18,920,,,top,,,,,{},False
20,1182,1226,1270,bottom,102.27,102.27,102.27,,"{20: 0.0, 19: 7.0}",True
19,1239,,,top,,,,,{},False
22,1276,,,top,,,,,{},False
23,1691,1725,1762,bottom,126.76,132.35,121.62,-29.0,"{23: 0.0, 26: 1.95}",True
26,1754,,,top,,,,,{},False
27,1858,,,top,,,,,{},False
28,1863,1901,1939,bottom,118.42,118.42,118.42,,"{27: 22.66, 28: 0.0, 30: 15.24}",True
30,1914,1951,1989,bottom,120.0,121.62,118.42,-8.42,"{30: 0.0, 28: 14.51}",True
31,1990,,,top,,,,,{},False
34,2132,,,top,,,,,{},False
38,2239,2276,,bottom,,,,,{},False
40,2437,2472,2509,bottom,125.0,128.57,121.62,-18.78,{40: 0.0},True
41,2908,2950,,bottom,,,,,{},False
45,2988,,,top,,,,,{},False
43,3004,,,top,,,,,{},False
46,3309,3338,3369,bottom,150.0,155.17,145.16,-32.29,{46: 0.0},True
48,3463,,,top,,,,,{},False
49,3479,3507,3537,bottom,155.17,160.71,150.0,-35.71,{49: 0.0},True
50,3810,3850,3888,bottom,115.38,112.5,118.42,15.58,{50: 0.0},True
55,4039,4078,4123,bottom,107.14,115.38,100.0,-34.19,"{55: 0.0, 54: 7.48}",True
54,4089,,,top,,,,,{},False
57,5074,5109,5144,bottom,128.57,128.57,128.57,,{57: 0.0},True
59,5156,5194,5236,bottom,112.5,118.42,107.14,-26.85,"{59: 0.0, 58: 13.03, 61: 11.32}",True
58,5185,,,top,,,,,{},False
61,5200,5231,,bottom,,,,,{},False
62,5321,,,top,,,,,{},False
