tracking_id,start_frame,middle_frame,end_frame,first_crossed,speed,start_to_mid_speed,mid_to_end_speed,acceleration,average_vertical_distances,valid
1,70,104,132,top,72.58,66.18,80.36,12.66,{1: 0.0},True
8,367,,,bottom,,,,,{},False
9,448,474,498,bottom,90.0,86.54,93.75,7.51,{9: 0.0},True
10,499,518,539,bottom,112.5,118.42,107.14,-13.43,"{10: 0.0, 9: 45.52}",True
11,553,579,601,bottom,93.75,86.54,102.27,17.88,{11: 0.0},True
12,668,690,711,bottom,104.65,102.27,107.14,5.8,"{12: 0.0, 13: 30.13}",True
13,696,719,743,bottom,95.74,97.83,93.75,-4.25,"{13: 0.0, 12: 30.2, 16: 1.54}",True
16,740,763,782,top,107.14,97.83,118.42,27.1,"{16: 0.0, 13: 2.93, 17: 4.63}",True
17,744,,,top,,,,,{},False
19,825,844,864,bottom,115.38,118.42,112.5,-7.4,"{19: 0.0, 20: 28.17, 18: 33.05}",True
20,828,,,top,,,,,{},False
18,850,,,bottom,,,,,{},False
21,868,,,bottom,,,,,{},False
24,989,,,bottom,,,,,{},False
26,1032,1054,1071,top,115.38,102.27,132.35,44.24,"{26: 0.0, 28: 7.97}",True
28,1065,,,bottom,,,,,{},False
29,1101,1123,1145,bottom,102.27,102.27,102.27,,"{29: 0.0, 30: 34.11}",True
30,1133,1157,1180,bottom,95.74,93.75,97.83,4.43,"{30: 0.0, 29: 33.76, 31: 8.34, 32: 34.9}",True
31,1161,1185,1204,top,104.65,93.75,118.42,32.46,"{30: 9.39, 31: 0.0, 32: 19.05}",True
32,1169,1191,1215,bottom,97.83,102.27,93.75,-8.88,"{32: 0.0, 30: 34.66, 31: 19.01, 33: 1.77}",True
33,1209,1235,1256,top,95.74,86.54,107.14,24.53,"{32: 4.09, 33: 0.0}",True
