tracking_id,start_frame,middle_frame,end_frame,first_crossed,speed,start_to_mid_speed,mid_to_end_speed,acceleration,average_vertical_distances,valid
1,0,44,80,top,65.25,59.32,72.5,10.62,"{1: 0.0, 14: 18.52, 2: 29.92, 4: 19.15, 8: 25.71, 5: 15.59, 9: 12.41, 25: 38.32, 29: 40.6}",True
14,18,60,96,bottom,66.92,62.14,72.5,8.34,"{14: 0.0, 1: 19.43, 4: 40.48, 2: 7.27, 8: 13.35, 5: 22.04, 9: 25.13, 25: 8.46, 29: 5.94, 31: 37.81, 32: 44.49}",True
4,29,,,top,,,,,{},False
2,30,,,bottom,,,,,{},False
8,38,,,bottom,,,,,{},False
5,54,,,bottom,,,,,{},False
9,59,,,bottom,,,,,{},False
25,66,107,143,top,67.79,63.66,72.5,7.12,"{1: 38.27, 14: 11.32, 25: 0.0, 29: 5.84, 31: 18.3, 32: 31.13, 27: 25.3, 33: 11.88, 36: 27.76, 40: 3.74}",True
29,73,116,158,top,61.41,60.7,62.14,1.0,"{1: 40.6, 14: 10.02, 25: 5.98, 29: 0.0, 31: 21.94, 32: 35.21, 27: 30.72, 33: 14.92, 36: 20.37, 40: 8.13, 43: 3.81, 35: 4.67}",True
31,83,119,154,bottom,73.52,72.5,74.57,1.72,"{25: 19.88, 31: 0.0, 14: 36.76, 29: 20.79, 32: 8.01, 27: 14.51, 33: 14.98, 36: 14.62, 40: 32.74, 43: 41.58, 35: 45.15}",True
32,92,,,bottom,,,,,{},False
27,102,,,bottom,,,,,{},False
33,106,141,,bottom,,,,,{},False
36,111,154,193,top,63.66,60.7,66.92,4.63,"{33: 19.87, 31: 15.57, 25: 27.65, 36: 0.0, 29: 20.23, 40: 18.4, 43: 13.36, 35: 23.91, 38: 18.88, 44: 7.22, 45: 4.27, 39: 5.16}",True
40,131,169,,bottom,,,,,{},False
43,148,172,,bottom,,,,,{},False
35,150,,,bottom,,,,,{},False
38,159,,,bottom,,,,,{},False
44,168,,,bottom,,,,,{},False
45,182,208,,bottom,,,,,{},False
39,184,,,bottom,,,,,{},False
42,192,,,bottom,,,,,{},False
49,192,229,264,bottom,72.5,70.54,74.57,3.34,"{36: 1.11, 45: 13.03, 42: 0.98, 40: 39.74, 49: 0.0, 44: 15.3, 52: 3.56, 50: 14.39, 48: 28.14, 47: 29.97, 61: 33.37, 54: 39.21, 55: 42.76}",True
52,198,234,,bottom,,,,,{},False
50,213,,,bottom,,,,,{},False
48,234,,,bottom,,,,,{},False
47,237,,,bottom,,,,,{},False
61,242,283,323,bottom,64.44,63.66,65.25,1.15,"{61: 0.0, 49: 33.51, 52: 29.82, 54: 5.93, 55: 7.71, 56: 22.58, 64: 26.72, 76: 31.64, 80: 31.88, 62: 42.36, 82: 39.51, 73: 43.59}",True
54,251,,,bottom,,,,,{},False
55,253,,,bottom,,,,,{},False
56,279,,,bottom,,,,,{},False
64,285,,,bottom,,,,,{},False
76,295,349,381,bottom,60.7,48.33,81.56,30.11,"{76: 0.0, 61: 32.39, 80: 8.12, 62: 10.06, 82: 5.86, 73: 6.45, 85: 4.38, 67: 23.85, 86: 13.72, 87: 22.54, 77: 38.86, 90: 40.77}",True
