tracking_id,start_frame,middle_frame,end_frame,first_crossed,speed,start_to_mid_speed,mid_to_end_speed,acceleration,average_vertical_distances,valid
2,9,,,top,,,,,{},False
1,21,,,bottom,,,,,{},False
5,29,43,58,top,155.17,160.71,150.0,-17.86,"{5: 0.0, 3: 13.819999694824219, 4: 22.489999771118164, 6: 7.760000228881836, 7: 6.389999866485596}",True
3,35,,,top,,,,,{},False
4,41,,,top,,,,,{},False
6,47,66,84,bottom,121.62,118.42,125.0,9.14,"{6: 0.0, 5: 7.510000228881836, 7: 3.190000057220459}",True
7,49,69,87,bottom,118.42,112.5,125.0,17.36,"{6: 3.25, 7: 0.0, 5: 6.090000152587891}",True
8,96,113,129,bottom,136.36,132.35,140.62,12.93,"{8: 0.0, 10: 9.289999961853027, 11: 8.539999961853027, 12: 5.909999847412109, 9: 37.619998931884766}",True
10,115,132,148,top,136.36,132.35,140.62,12.93,"{8: 10.729999542236328, 10: 0.0, 11: 4.860000133514404, 12: 2.5899999141693115, 9: 35.31999969482422, 13: 9.970000267028809}",True
11,115,137,157,top,107.14,102.27,112.5,12.78,"{8: 9.510000228881836, 10: 5.130000114440918, 11: 0.0, 12: 5.150000095367432, 9: 38.099998474121094, 13: 13.489999771118164}",True
12,121,134,147,top,173.08,173.08,173.08,,"{8: 8.319999694824219, 12: 0.0, 10: 2.5999999046325684, 11: 4.889999866485596, 9: 41.619998931884766, 13: 10.649999618530273}",True
9,123,,,bottom,,,,,{},False
13,133,154,173,bottom,112.5,107.14,118.42,14.84,"{13: 0.0, 10: 10.199999809265137, 12: 10.140000343322754, 11: 14.130000114440918, 14: 2.6600000858306885, 16: 43.40999984741211}",True
14,168,186,203,top,128.57,125.0,132.35,10.81,"{13: 4.139999866485596, 14: 0.0, 16: 19.040000915527344, 18: 19.030000686645508, 19: 19.959999084472656, 23: 6.78000020980835}",True
16,170,202,230,bottom,75.0,70.31,80.36,8.97,"{16: 0.0, 13: 44.27000045776367, 14: 18.440000534057617, 18: 6.489999771118164, 19: 8.729999542236328, 23: 10.010000228881836, 25: 43.43000030517578}",True
18,173,193,212,bottom,115.38,112.5,118.42,7.79,"{16: 6.050000190734863, 19: 3.140000104904175, 18: 0.0, 13: 46.4900016784668, 14: 18.860000610351562, 23: 22.84000015258789}",True
19,174,191,207,bottom,136.36,132.35,140.62,12.93,"{16: 8.100000381469727, 19: 0.0, 18: 2.950000047683716, 14: 20.030000686645508, 23: 27.479999542236328}",True
23,192,214,234,bottom,107.14,102.27,112.5,12.78,"{16: 9.329999923706055, 23: 0.0, 19: 27.989999771118164, 18: 23.040000915527344, 14: 6.610000133514404, 25: 39.59000015258789}",True
25,227,249,270,bottom,104.65,102.27,107.14,5.8,"{16: 42.709999084472656, 25: 0.0, 23: 39.65999984741211, 26: 22.510000228881836, 27: 15.3100004196167, 24: 31.489999771118164, 28: 41.43000030517578, 29: 44.369998931884766}",True
26,233,252,268,top,128.57,118.42,140.62,34.69,"{16: 3.6500000953674316, 23: 2.7200000286102295, 26: 0.0, 25: 20.639999389648438, 27: 17.639999389648438, 24: 14.970000267028809, 28: 1.3700000047683716, 29: 2.2699999809265137}",True
27,238,266,291,bottom,84.91,80.36,90.0,9.64,"{27: 0.0, 25: 15.65999984741211, 26: 17.459999084472656, 24: 44.290000915527344, 28: 18.079999923706055, 29: 23.520000457763672, 30: 5.260000228881836}",True
24,242,,,top,,,,,{},False
28,266,283,300,bottom,132.35,132.35,132.35,,"{28: 0.0, 26: 2.7799999713897705, 27: 16.850000381469727, 25: 41.33000183105469, 29: 7.0, 30: 12.5}",True
29,267,290,310,bottom,104.65,97.83,112.5,18.34,"{26: 1.0299999713897705, 29: 0.0, 28: 7.239999771118164, 27: 22.969999313354492, 25: 44.31999969482422, 30: 15.890000343322754}",True
30,280,306,330,top,90.0,86.54,93.75,7.51,"{30: 0.0, 27: 6.800000190734863, 29: 16.530000686645508, 28: 12.4399995803833, 31: 10.119999885559082}",True
31,312,329,346,bottom,132.35,132.35,132.35,,"{30: 11.829999923706055, 31: 0.0, 32: 1.2599999904632568}",True
32,343,361,379,top,125.0,125.0,125.0,,"{31: 3.5299999713897705, 32: 0.0, 34: 19.1299991607666, 35: 11.380000114440918}",True
34,346,371,392,bottom,97.83,90.0,107.14,20.41,"{34: 0.0, 31: 47.43000030517578, 32: 19.25, 35: 13.569999694824219, 40: 45.93000030517578, 41: 1.0399999618530273}",True
35,359,385,408,bottom,91.84,86.54,97.83,12.27,"{35: 0.0, 34: 13.710000038146973, 32: 11.470000267028809, 40: 28.75, 41: 12.34000015258789, 36: 13.260000228881836, 38: 44.77000045776367}",True
40,391,411,430,bottom,115.38,112.5,118.42,7.79,"{40: 0.0, 41: 20.299999237060547, 34: 45.2400016784668, 35: 28.329999923706055, 36: 42.47999954223633, 38: 17.600000381469727, 39: 9.350000381469727, 46: 2.5299999713897705, 47: 1.4199999570846558}",True
41,391,404,417,top,173.08,173.08,173.08,,"{40: 19.450000762939453, 41: 0.0, 34: 4.099999904632568, 35: 15.369999885559082, 36: 10.550000190734863, 38: 20.520000457763672}",True
36,395,,,top,,,,,{},False
38,405,,,bottom,,,,,{},False
39,423,,,top,,,,,{},False
46,425,444,462,top,121.62,118.42,125.0,9.14,"{40: 4.900000095367432, 46: 0.0, 47: 6.489999771118164, 48: 16.280000686645508, 50: 1.7699999809265137}",True
47,427,439,452,top,180.0,187.5,173.08,-27.74,"{40: 5.960000038146973, 46: 6.199999809265137, 47: 0.0, 48: 14.039999961853027}",True
48,434,456,477,bottom,104.65,102.27,107.14,5.8,"{48: 0.0, 47: 13.369999885559082, 46: 16.6200008392334, 50: 25.3799991607666, 51: 11.510000228881836, 49: 39.220001220703125}",True
50,460,477,493,bottom,136.36,132.35,140.62,12.93,"{50: 0.0, 46: 2.5399999618530273, 48: 24.729999542236328, 51: 21.790000915527344, 49: 14.010000228881836, 52: 2.7699999809265137, 53: 44.04999923706055}",True
51,461,475,488,top,166.67,160.71,173.08,23.77,"{46: 44.95000076293945, 50: 21.059999465942383, 48: 14.6899995803833, 51: 0.0, 49: 31.299999237060547}",True
49,470,,,bottom,,,,,{},False
52,489,502,515,top,173.08,173.08,173.08,,"{52: 0.0, 50: 4.119999885559082, 53: 20.09000015258789, 54: 41.599998474121094}",True
53,491,507,522,bottom,145.16,140.62,150.0,15.63,"{53: 0.0, 52: 19.8700008392334, 50: 44.36000061035156, 54: 8.039999961853027}",True
54,512,526,539,top,166.67,160.71,173.08,23.77,"{54: 0.0, 52: 41.540000915527344, 53: 8.460000038146973}",True
55,539,552,566,top,166.67,173.08,160.71,-22.08,"{55: 0.0, 56: 16.020000457763672, 57: 14.449999809265137}",True
56,544,563,580,bottom,125.0,118.42,132.35,20.49,"{56: 0.0, 55: 16.600000381469727, 57: 22.100000381469727, 58: 5.21999979019165}",True
57,545,562,579,top,132.35,132.35,132.35,,"{55: 14.619999885559082, 57: 0.0, 56: 21.3799991607666}",True
58,577,,,top,,,,,{},False
61,580,595,608,top,160.71,150.0,173.08,44.38,"{56: 2.1500000953674316, 61: 0.0, 63: 39.099998474121094}",True
63,604,620,636,top,140.62,140.62,140.62,,"{61: 39.29999923706055, 63: 0.0, 64: 35.810001373291016}",True
64,627,653,677,top,90.0,86.54,93.75,7.51,"{63: 36.29999923706055, 64: 0.0, 66: 10.779999732971191, 67: 7.989999771118164, 68: 33.619998931884766}",True
66,650,664,677,top,166.67,160.71,173.08,23.77,"{66: 0.0, 64: 10.369999885559082, 67: 13.289999961853027, 68: 28.190000534057617}",True
67,659,689,716,bottom,78.95,75.0,83.33,7.72,"{67: 0.0, 66: 12.399999618530273, 64: 8.25, 68: 22.290000915527344, 71: 12.960000038146973}",True
68,663,688,712,top,91.84,90.0,93.75,3.91,"{67: 21.360000610351562, 68: 0.0, 66: 28.959999084472656, 64: 33.52000045776367, 71: 25.440000534057617}",True
71,692,711,729,top,121.62,118.42,125.0,9.14,"{68: 25.1299991607666, 67: 15.1899995803833, 71: 0.0}",True
78,729,,,bottom,,,,,{},False
79,737,766,793,bottom,80.36,77.59,83.33,5.32,"{79: 0.0, 81: 15.609999656677246}",True
81,764,783,800,bottom,125.0,118.42,132.35,20.49,"{79: 14.420000076293945, 81: 0.0}",True
80,786,,,top,,,,,{},False
82,805,823,841,bottom,125.0,125.0,125.0,,"{82: 0.0, 83: 17.25}",True
83,817,831,845,top,160.71,160.71,160.71,,"{82: 18.219999313354492, 83: 0.0}",True
84,858,,,bottom,,,,,{},False
85,861,,,top,,,,,{},False
87,863,880,896,top,136.36,132.35,140.62,12.93,"{87: 0.0, 86: 33.88999938964844}",True
86,872,,,bottom,,,,,{},False
88,900,,,bottom,,,,,{},False
89,933,,,top,,,,,{},False
90,936,954,970,top,132.35,125.0,140.62,24.41,"{90: 0.0, 91: 15.989999771118164, 92: 2.680000066757202}",True
91,952,964,976,top,187.5,187.5,187.5,,"{90: 15.449999809265137, 91: 0.0, 92: 9.489999771118164}",True
92,965,984,1002,bottom,121.62,118.42,125.0,9.14,"{90: 4.03000020980835, 92: 0.0, 91: 9.260000228881836, 93: 9.3100004196167}",True
93,987,1004,1021,top,132.35,132.35,132.35,,"{92: 10.890000343322754, 93: 0.0, 94: 4.449999809265137}",True
94,1013,1032,1049,bottom,125.0,118.42,132.35,20.49,"{94: 0.0, 93: 6.03000020980835, 95: 18.450000762939453, 96: 11.710000038146973, 97: 37.58000183105469}",True
95,1022,1037,1052,top,150.0,150.0,150.0,,"{94: 20.209999084472656, 95: 0.0, 96: 16.81999969482422, 97: 6.829999923706055}",True
96,1031,1049,,top,,,,,{},False
97,1042,,,bottom,,,,,{},False
98,1054,,,top,,,,,{},False
