tracking_id,start_frame,middle_frame,end_frame,first_crossed,speed,start_to_mid_speed,mid_to_end_speed,acceleration,average_vertical_distances,valid
1,18,,,top,,,,,{},False
3,25,34,43,top,120.0,120.0,120.0,,{3: 0.0},True
7,46,57,70,bottom,90.0,98.18,83.08,-13.94,"{7: 0.0, 4: 5.94}",True
4,48,,,bottom,,,,,{},False
5,60,,,top,,,,,{},False
11,73,85,96,top,93.91,90.0,98.18,8.93,"{11: 0.0, 8: 12.24, 10: 27.04}",True
8,78,,,top,,,,,{},False
10,86,,,top,,,,,{},False
12,100,,,bottom,,,,,{},False
23,124,136,,bottom,,,,,{},False
16,125,,,top,,,,,{},False
20,134,,,bottom,,,,,{},False
21,134,,,top,,,,,{},False
27,135,148,159,top,90.0,83.08,98.18,16.48,"{27: 0.0, 23: 13.63, 25: 13.11, 17: 24.83, 29: 43.85}",True
18,135,,,bottom,,,,,{},False
17,139,,,top,,,,,{},False
25,141,,,top,,,,,{},False
28,150,,,top,,,,,{},False
29,156,,,top,,,,,{},False
26,158,,,top,,,,,{},False
36,165,,,top,,,,,{},False
34,170,,,top,,,,,{},False
39,177,,,bottom,,,,,{},False
44,184,195,206,top,98.18,98.18,98.18,,"{44: 0.0, 42: 36.32, 45: 8.28, 41: 22.68}",True
42,189,,,bottom,,,,,{},False
45,189,200,209,top,108.0,98.18,120.0,29.09,"{44: 8.21, 45: 0.0, 41: 13.21}",True
41,194,,,top,,,,,{},False
43,208,,,top,,,,,{},False
60,212,222,,top,,,,,{},False
61,237,,,top,,,,,{},False
65,250,,,top,,,,,{},False
63,251,,,bottom,,,,,{},False
62,253,,,top,,,,,{},False
67,254,,,top,,,,,{},False
64,257,,,bottom,,,,,{},False
72,260,274,,top,,,,,{},False
70,274,,,top,,,,,{},False
75,284,,,bottom,,,,,{},False
89,285,296,306,top,102.86,98.18,108.0,11.78,"{89: 0.0, 83: 5.06, 92: 14.96, 94: 24.26, 88: 17.26}",True
83,286,,,top,,,,,{},False
92,292,304,317,bottom,86.4,90.0,83.08,-6.39,"{92: 0.0, 89: 14.6, 94: 19.41, 88: 14.6}",True
94,297,307,317,top,108.0,108.0,108.0,,"{92: 19.41, 89: 24.33, 94: 0.0, 88: 40.87}",True
88,299,,,bottom,,,,,{},False
95,314,,,top,,,,,{},False
105,324,340,354,top,72.0,67.5,77.14,8.27,"{105: 0.0, 97: 41.23, 107: 11.32, 110: 10.37}",True
97,330,,,bottom,,,,,{},False
107,348,,,bottom,,,,,{},False
110,348,,,bottom,,,,,{},False
114,354,,,bottom,,,,,{},False
113,360,,,top,,,,,{},False
112,365,,,top,,,,,{},False
111,365,,,bottom,,,,,{},False
115,390,,,top,,,,,{},False
120,393,406,418,top,86.4,83.08,90.0,6.92,"{120: 0.0, 117: 31.45, 116: 30.92, 118: 31.6, 125: 36.77, 122: 2.67}",True
117,401,,,bottom,,,,,{},False
116,402,,,bottom,,,,,{},False
118,409,,,top,,,,,{},False
125,413,427,440,top,80.0,77.14,83.08,5.48,"{120: 36.86, 125: 0.0, 122: 39.06, 123: 12.28, 124: 23.04, 130: 6.99}",True
122,416,,,bottom,,,,,{},False
123,418,,,top,,,,,{},False
124,427,,,bottom,,,,,{},False
130,432,447,462,bottom,72.0,72.0,72.0,,"{130: 0.0, 125: 7.09, 138: 5.7}",True
127,439,,,top,,,,,{},False
128,442,,,bottom,,,,,{},False
138,454,468,480,top,83.08,77.14,90.0,12.86,"{130: 8.85, 131: 3.87, 138: 0.0, 133: 44.95, 134: 40.92, 137: 27.07}",True
131,455,,,top,,,,,{},False
133,456,,,bottom,,,,,{},False
134,457,,,bottom,,,,,{},False
137,468,,,top,,,,,{},False
142,479,,,top,,,,,{},False
141,482,,,top,,,,,{},False
144,492,,,top,,,,,{},False
143,492,,,top,,,,,{},False
152,493,507,520,top,80.0,77.14,83.08,5.48,"{152: 0.0, 146: 2.65, 145: 37.14, 147: 25.7, 150: 35.98}",True
146,493,,,top,,,,,{},False
145,499,,,bottom,,,,,{},False
147,506,,,top,,,,,{},False
151,508,,,bottom,,,,,{},False
150,512,,,top,,,,,{},False
158,524,,,bottom,,,,,{},False
153,524,,,top,,,,,{},False
155,530,,,bottom,,,,,{},False
156,536,,,bottom,,,,,{},False
162,536,550,565,bottom,74.48,77.14,72.0,-4.11,"{163: 23.55, 162: 0.0, 159: 8.87, 164: 20.51, 157: 32.46, 161: 20.57, 167: 8.42}",True
163,537,551,564,top,80.0,77.14,83.08,5.48,"{162: 21.89, 163: 0.0, 164: 2.11, 159: 44.84, 157: 9.32, 161: 30.37, 167: 27.34}",True
164,539,553,566,top,80.0,77.14,83.08,5.48,"{159: 46.71, 164: 0.0, 163: 2.22, 162: 21.41, 157: 9.95, 161: 32.11, 167: 24.53}",True
159,540,,,bottom,,,,,{},False
157,543,,,top,,,,,{},False
161,548,,,bottom,,,,,{},False
167,556,565,572,top,135.0,120.0,154.29,58.78,"{163: 27.28, 162: 13.37, 164: 23.74, 167: 0.0, 172: 29.4, 160: 33.58, 165: 33.79}",True
172,566,579,590,top,90.0,83.08,98.18,16.48,"{167: 30.08, 160: 4.23, 172: 0.0, 162: 3.1, 165: 6.01}",True
160,567,,,top,,,,,{},False
165,567,,,top,,,,,{},False
170,583,,,top,,,,,{},False
173,604,,,top,,,,,{},False
175,609,,,bottom,,,,,{},False
178,624,,,top,,,,,{},False
177,628,,,top,,,,,{},False
184,642,,,bottom,,,,,{},False
185,667,,,top,,,,,{},False
188,670,690,,bottom,,,,,{},False
186,674,,,top,,,,,{},False
191,691,,,bottom,,,,,{},False
196,697,710,728,bottom,69.68,83.08,60.0,-15.38,"{196: 0.0, 188: 28.77, 198: 13.38, 200: 36.71}",True
198,711,725,737,top,83.08,77.14,90.0,12.86,"{198: 0.0, 196: 15.95, 200: 13.9, 195: 33.84, 204: 41.04}",True
