tracking_id,start_frame,middle_frame,end_frame,first_crossed,speed,start_to_mid_speed,mid_to_end_speed,acceleration,average_vertical_distances,valid
1,0,,,bottom,,,,,{},False
5,37,,,bottom,,,,,{},False
10,44,,,top,,,,,{},False
7,53,,,bottom,,,,,{},False
2,55,,,bottom,,,,,{},False
13,56,83,,bottom,,,,,{},False
15,74,,,bottom,,,,,{},False
12,75,,,bottom,,,,,{},False
14,93,,,bottom,,,,,{},False
21,105,131,156,bottom,81.18,79.62,82.8,2.93,"{21: 0.0, 19: 27.89, 20: 27.68, 24: 35.37, 25: 3.84}",True
20,133,,,bottom,,,,,{},False
19,134,,,bottom,,,,,{},False
24,142,169,,bottom,,,,,{},False
25,147,168,187,top,103.5,98.57,108.95,12.56,"{24: 20.94, 25: 0.0, 21: 4.03, 26: 14.16, 27: 19.0, 31: 2.08}",True
26,162,185,203,bottom,100.98,90.0,115.0,31.94,"{26: 0.0, 24: 15.11, 25: 14.12, 27: 39.27, 31: 24.11}",True
27,162,,,top,,,,,{},False
31,184,207,227,bottom,96.28,90.0,103.5,15.53,"{25: 1.87, 31: 0.0, 24: 37.54, 26: 24.58, 34: 33.59, 32: 40.39}",True
34,215,,,bottom,,,,,{},False
32,219,,,bottom,,,,,{},False
35,229,,,bottom,,,,,{},False
36,251,,,bottom,,,,,{},False
38,284,310,334,bottom,82.8,79.62,86.25,6.36,"{38: 0.0, 37: 10.2, 40: 25.61}",True
37,294,,,bottom,,,,,{},False
40,315,,,bottom,,,,,{},False
43,350,,,top,,,,,{},False
44,356,,,bottom,,,,,{},False
48,368,,,top,,,,,{},False
47,392,,,bottom,,,,,{},False
52,394,,,bottom,,,,,{},False
51,398,,,top,,,,,{},False
54,418,,,bottom,,,,,{},False
55,422,,,bottom,,,,,{},False
58,423,,,top,,,,,{},False
57,427,,,bottom,,,,,{},False
61,452,476,,bottom,,,,,{},False
60,453,,,bottom,,,,,{},False
63,470,493,515,top,92.0,90.0,94.09,4.28,"{61: 13.9, 63: 0.0, 64: 12.47, 62: 24.34}",True
64,490,516,538,bottom,86.25,79.62,94.09,15.13,"{63: 12.87, 64: 0.0, 62: 2.11, 61: 37.83, 67: 37.79}",True
62,490,,,bottom,,,,,{},False
67,527,,,bottom,,,,,{},False
69,537,561,584,bottom,88.09,86.25,90.0,3.75,"{69: 0.0, 64: 46.53, 68: 5.01, 70: 19.21, 73: 28.38}",True
70,540,561,581,top,100.98,98.57,103.5,5.67,"{68: 45.52, 69: 19.21, 70: 0.0, 73: 8.76}",True
68,541,,,bottom,,,,,{},False
73,565,592,,bottom,,,,,{},False
74,584,,,bottom,,,,,{},False
82,618,648,,bottom,,,,,{},False
80,632,,,bottom,,,,,{},False
86,633,,,bottom,,,,,{},False
76,636,,,top,,,,,{},False
88,668,,,bottom,,,,,{},False
91,670,,,bottom,,,,,{},False
89,686,,,top,,,,,{},False
96,713,,,bottom,,,,,{},False
