tracking_id,start_frame,middle_frame,end_frame,first_crossed,speed,start_to_mid_speed,mid_to_end_speed,acceleration,average_vertical_distances,valid
5,0,,,top,,,,,{},False
7,61,158,,bottom,,,,,{},False
9,67,219,308,bottom,43.32,34.34,58.65,15.84,"{9: 0.0, 7: 4.23, 1: 7.34, 15: 30.51, 16: 17.86, 3: 16.61, 18: 13.35, 8: 34.72, 21: 35.65, 25: 41.05}",True
1,113,,,bottom,,,,,{},False
15,114,,,top,,,,,{},False
16,120,332,454,top,31.26,24.62,42.79,8.64,"{9: 18.26, 1: 49.08, 7: 31.73, 16: 0.0, 15: 2.09, 3: 42.33, 18: 19.49, 17: 13.1, 8: 31.14, 21: 13.85, 22: 31.41, 25: 15.95, 27: 22.47, 30: 9.39, 20: 6.41, 37: 3.03, 34: 44.58}",True
3,171,,,bottom,,,,,{},False
18,173,274,340,bottom,62.51,51.68,79.09,24.09,"{18: 0.0, 3: 1.01, 9: 13.1, 15: 37.81, 16: 19.0, 8: 22.77, 21: 25.61, 25: 32.31, 27: 4.24}",True
17,250,,,top,,,,,{},False
8,262,,,bottom,,,,,{},False
21,267,366,,bottom,,,,,{},False
22,269,,,bottom,,,,,{},False
25,284,417,535,bottom,41.59,39.25,44.24,2.45,"{25: 0.0, 9: 41.78, 21: 7.37, 16: 17.24, 18: 32.92, 27: 20.81, 30: 14.03, 20: 26.05, 37: 23.87, 34: 16.7, 40: 40.43, 41: 4.83}",True
27,318,458,560,top,43.14,37.29,51.18,7.9,"{25: 22.09, 16: 22.42, 21: 23.51, 27: 0.0, 9: 2.01, 18: 3.69, 30: 19.51, 20: 28.1, 37: 15.35, 34: 22.74, 40: 4.63, 41: 41.76, 32: 1.57}",True
30,352,489,,bottom,,,,,{},False
20,416,,,bottom,,,,,{},False
36,424,,,bottom,,,,,{},False
37,428,531,,bottom,,,,,{},False
34,434,,,top,,,,,{},False
40,511,660,783,bottom,38.38,35.03,42.44,3.49,"{25: 41.25, 40: 0.0, 27: 5.42, 37: 23.36, 30: 27.44, 41: 24.54, 32: 7.82, 43: 6.0, 39: 22.07, 53: 25.06, 55: 38.21, 42: 41.26}",True
41,524,653,770,top,42.44,40.47,44.62,2.06,"{27: 41.47, 37: 14.55, 25: 3.0, 30: 9.56, 41: 0.0, 40: 23.98, 32: 43.35, 43: 16.03, 38: 27.12, 51: 27.25, 39: 23.48, 53: 8.92, 55: 3.19, 42: 3.95}",True
32,554,,,bottom,,,,,{},False
43,571,684,758,bottom,55.83,46.19,70.54,19.08,"{43: 0.0, 40: 5.99, 30: 36.83, 41: 13.93, 37: 35.84, 38: 12.52, 51: 13.83, 39: 16.19, 53: 26.01}",True
38,624,,,bottom,,,,,{},False
51,630,,,bottom,,,,,{},False
39,639,,,bottom,,,,,{},False
53,684,790,,bottom,,,,,{},False
55,740,872,985,bottom,42.61,39.55,46.19,3.41,"{55: 0.0, 41: 3.86, 53: 16.62, 40: 38.29, 42: 2.59, 43: 43.8, 61: 3.4, 52: 16.03, 66: 17.57, 54: 27.96, 67: 30.25, 68: 31.0, 72: 5.71, 80: 2.18, 81: 45.65}",True
42,751,,,bottom,,,,,{},False
61,781,883,964,bottom,57.05,51.18,64.44,9.5,"{55: 3.34, 61: 0.0, 53: 22.61, 40: 45.44, 52: 10.91, 66: 17.89, 54: 25.93, 67: 31.14, 68: 30.34, 72: 6.58}",True
62,782,,,bottom,,,,,{},False
52,822,,,bottom,,,,,{},False
66,854,950,1044,bottom,54.95,54.38,55.53,0.71,"{66: 0.0, 55: 17.12, 61: 17.92, 53: 40.71, 54: 8.4, 67: 15.36, 68: 12.37, 72: 12.7, 80: 7.66, 81: 31.92, 63: 36.25}",True
54,882,,,bottom,,,,,{},False
67,897,1026,1130,bottom,44.81,40.47,50.19,5.42,"{67: 0.0, 66: 15.44, 55: 30.19, 61: 31.93, 68: 0.03, 72: 20.45, 80: 15.24, 81: 12.79, 63: 19.45, 84: 39.28, 85: 39.59, 89: 2.81}",True
68,905,,,bottom,,,,,{},False
72,926,1057,1154,top,45.79,39.85,53.81,8.35,"{66: 13.04, 67: 20.89, 55: 7.14, 61: 7.93, 72: 0.0, 80: 12.1, 81: 20.53, 63: 33.89, 84: 7.06, 85: 6.95, 89: 41.68}",True
80,973,1118,1232,top,40.31,36.0,45.79,4.98,"{67: 15.58, 55: 2.43, 72: 12.27, 80: 0.0, 66: 7.87, 61: 1.47, 81: 22.09, 63: 44.19, 84: 13.93, 85: 15.22, 89: 27.05, 102: 2.32, 103: 46.14}",True
81,981,1076,1155,bottom,60.0,54.95,66.08,8.17,"{81: 0.0, 55: 45.45, 72: 20.58, 66: 31.87, 67: 12.66, 61: 49.13, 80: 20.83, 63: 4.37, 84: 30.47, 85: 29.96, 89: 6.34}",True
63,994,,,bottom,,,,,{},False
84,1088,1216,1323,bottom,44.43,40.78,48.79,4.34,"{84: 0.0, 80: 14.81, 72: 7.62, 67: 39.41, 81: 31.15, 85: 4.3, 89: 19.69, 102: 25.35, 103: 10.71, 104: 8.49, 108: 42.3}",True
