tracking_id,start_frame,middle_frame,end_frame,first_crossed,speed,start_to_mid_speed,mid_to_end_speed,acceleration,average_vertical_distances,valid
2,6,,,bottom,,,,,{},False
1,8,,,top,,,,,{},False
4,9,,,bottom,,,,,{},False
3,11,,,top,,,,,{},False
6,31,,,bottom,,,,,{},False
8,31,41,51,top,108.0,108.0,108.0,,"{8: 0.0, 9: 6.8, 13: 15.8, 7: 20.85}",True
9,31,,56,top,86.4,,,,{},True
13,38,48,56,top,120.0,108.0,135.0,40.5,"{7: 4.18, 13: 0.0, 8: 15.69, 9: 5.36, 12: 35.79}",True
7,38,,,top,,,,,{},False
12,51,,,top,,,,,{},False
10,56,,,top,,,,,{},False
20,62,73,84,top,98.18,98.18,98.18,,"{20: 0.0, 16: 29.91, 19: 9.41, 31: 44.04}",True
15,70,,,top,,,,,{},False
16,76,,,top,,,,,{},False
19,79,,,bottom,,,,,{},False
31,83,91,99,top,135.0,135.0,135.0,,"{31: 0.0, 20: 43.11, 32: 8.15, 36: 35.99}",True
32,83,95,106,top,93.91,90.0,98.18,8.93,"{31: 8.67, 20: 44.96, 32: 0.0, 17: 43.28, 36: 22.9, 40: 34.62, 42: 2.97}",True
17,85,,,bottom,,,,,{},False
26,88,,,top,,,,,{},False
36,94,106,117,top,93.91,90.0,98.18,8.93,"{31: 36.49, 32: 22.97, 36: 0.0, 40: 14.37, 42: 14.68, 39: 45.36}",True
40,99,115,129,top,72.0,67.5,77.14,8.27,"{32: 35.01, 36: 14.93, 40: 0.0, 42: 19.99, 39: 28.03, 35: 31.6, 49: 36.49}",True
42,102,115,130,bottom,77.14,83.08,72.0,-8.86,"{42: 0.0, 32: 4.1, 36: 14.44, 40: 20.12, 39: 22.58, 35: 16.19, 49: 6.27}",True
39,115,,,top,,,,,{},False
35,120,,,top,,,,,{},False
49,124,139,154,top,72.0,72.0,72.0,,"{40: 37.0, 49: 0.0, 42: 7.89, 57: 20.23, 55: 9.8}",True
57,137,152,165,top,77.14,72.0,83.08,10.22,"{49: 20.2, 57: 0.0, 55: 28.62}",True
53,142,,,top,,,,,{},False
55,148,,,bottom,,,,,{},False
60,154,,,bottom,,,,,{},False
58,168,,,top,,,,,{},False
62,173,189,,top,,,,,{},False
64,186,197,,bottom,,,,,{},False
61,191,,,top,,,,,{},False
67,193,,,top,,,,,{},False
