tracking_id,start_frame,middle_frame,end_frame,first_crossed,speed,start_to_mid_speed,mid_to_end_speed,acceleration,average_vertical_distances,valid
2,38,,,top,,,,,{},False
5,85,,,top,,,,,{},False
7,242,,,top,,,,,{},False
8,260,275,293,bottom,136.36,150.0,125.0,-69.44,{8: 0.0},True
10,302,,,top,,,,,{},False
12,472,,,top,,,,,{},False
13,519,,,top,,,,,{},False
14,562,,,top,,,,,{},False
16,646,,,top,,,,,{},False
18,666,,,top,,,,,{},False
19,805,821,838,bottom,136.36,140.62,132.35,-24.33,{19: 0.0},True
20,828,,,top,,,,,{},False
21,1092,,,top,,,,,{},False
24,1112,1125,1139,bottom,166.67,173.08,160.71,-44.15,{24: 0.0},True
28,1174,1189,1204,bottom,150.0,150.0,150.0,,"{26: 22.09, 28: 0.0, 29: 1.37}",True
26,1174,,,top,,,,,{},False
27,1179,,,top,,,,,{},False
29,1202,,,top,,,,,{},False
30,1272,,,top,,,,,{},False
31,1366,,,top,,,,,{},False
32,1465,,,top,,,,,{},False
34,1687,1700,1713,bottom,173.08,173.08,173.08,,"{34: 0.0, 33: 10.21}",True
33,1701,,,top,,,,,{},False
35,1902,,,top,,,,,{},False
36,1940,,,top,,,,,{},False
37,1987,,,top,,,,,{},False
38,2122,2137,2153,bottom,145.16,150.0,140.62,-29.3,{38: 0.0},True
51,2257,,,top,,,,,{},False
49,2267,,,top,,,,,{},False
52,2758,2771,2785,bottom,166.67,173.08,160.71,-44.15,{52: 0.0},True
53,2808,,,top,,,,,{},False
54,2826,,,top,,,,,{},False
55,2847,,,top,,,,,{},False
56,2873,,,top,,,,,{},False
57,2931,,,top,,,,,{},False
58,2981,,,top,,,,,{},False
59,3027,3042,3056,bottom,155.17,150.0,160.71,38.27,{59: 0.0},True
61,3129,,,top,,,,,{},False
64,3209,,,top,,,,,{},False
66,3223,3238,3254,bottom,145.16,150.0,140.62,-29.3,"{66: 0.0, 65: 17.64}",True
65,3230,,,top,,,,,{},False
67,3284,,,top,,,,,{},False
68,3322,3340,3358,bottom,125.0,125.0,125.0,,{68: 0.0},True
74,3549,3570,3590,bottom,109.76,107.14,112.5,13.39,"{74: 0.0, 72: 13.03}",True
72,3567,,,top,,,,,{},False
76,3567,,,top,,,,,{},False
79,3786,,,top,,,,,{},False
80,4034,4048,4062,bottom,160.71,160.71,160.71,,{80: 0.0},True
81,4151,,,top,,,,,{},False
82,4164,,,top,,,,,{},False
84,4175,,,top,,,,,{},False
85,4179,4194,4209,bottom,150.0,150.0,150.0,,{85: 0.0},True
86,4223,,,top,,,,,{},False
87,4233,4249,4265,bottom,140.62,140.62,140.62,,{87: 0.0},True
89,4294,4305,4317,bottom,195.65,204.55,187.5,-71.02,{89: 0.0},True
91,4331,,,top,,,,,{},False
90,4339,,,top,,,,,{},False
92,4417,,,top,,,,,{},False
93,4466,,,top,,,,,{},False
95,4656,,,top,,,,,{},False
96,4703,,,top,,,,,{},False
99,4703,,,top,,,,,{},False
100,4806,4821,4839,bottom,136.36,150.0,125.0,-69.44,{100: 0.0},True
104,4849,,,top,,,,,{},False
105,4852,4868,4885,bottom,136.36,140.62,132.35,-24.33,"{105: 0.0, 107: 3.39}",True
107,4880,,,top,,,,,{},False
106,4901,,,top,,,,,{},False
109,5052,,,top,,,,,{},False
110,5133,,,top,,,,,{},False
111,5151,,,top,,,,,{},False
112,5236,5251,5267,bottom,145.16,150.0,140.62,-29.3,{112: 0.0},True
113,5323,,,top,,,,,{},False
115,5340,5359,5379,bottom,115.38,118.42,112.5,-14.8,"{115: 0.0, 114: 16.64, 116: 18.97}",True
114,5351,,,top,,,,,{},False
116,5372,5390,5406,bottom,132.35,125.0,140.62,48.83,"{116: 0.0, 115: 18.8}",True
118,5425,5442,5460,bottom,128.57,132.35,125.0,-20.42,{118: 0.0},True
120,5467,,,top,,,,,{},False
124,5502,,,top,,,,,{},False
126,5503,,,top,,,,,{},False
125,5522,,,top,,,,,{},False
130,5545,,,top,,,,,{},False
131,5570,5584,5597,bottom,166.67,160.71,173.08,47.55,{131: 0.0},True
132,5689,,,top,,,,,{},False
137,5757,,,top,,,,,{},False
142,5795,,,top,,,,,{},False
143,5808,5824,5839,bottom,145.16,140.62,150.0,31.25,{143: 0.0},True
144,5863,,,top,,,,,{},False
145,5880,,,top,,,,,{},False
148,5895,,,top,,,,,{},False
151,5939,,,top,,,,,{},False
152,5946,5960,5973,bottom,166.67,160.71,173.08,47.55,"{152: 0.0, 153: 14.75}",True
153,5962,5981,6001,bottom,115.38,118.42,112.5,-14.8,"{153: 0.0, 152: 15.08}",True
154,6010,,,top,,,,,{},False
155,6225,,,top,,,,,{},False
