tracking_id,start_frame,middle_frame,end_frame,first_crossed,speed,start_to_mid_speed,mid_to_end_speed,acceleration,average_vertical_distances,valid
2,23,59,88,top,138.46,125.0,155.17,104.04,"{2: 0.0, 1: 19.79}",True
1,45,,,bottom,,,,,{},False
5,211,232,250,bottom,230.77,214.29,250.0,198.41,{5: 0.0},True
6,298,,,top,,,,,{},False
7,495,520,541,top,195.65,180.0,214.29,163.27,{7: 0.0},True
8,647,679,704,top,157.89,140.62,180.0,157.5,{8: 0.0},True
9,759,,,top,,,,,{},False
10,828,849,866,bottom,236.84,214.29,264.71,296.59,{10: 0.0},True
11,880,910,935,top,163.64,150.0,180.0,120.0,"{11: 0.0, 12: 5.14, 13: 16.09}",True
12,914,937,957,bottom,209.3,195.65,225.0,146.74,"{11: 6.08, 12: 0.0, 13: 9.21}",True
13,916,951,978,top,145.16,128.57,166.67,141.09,"{11: 16.15, 13: 0.0, 12: 9.69}",True
14,1003,,,top,,,,,{},False
16,1044,1079,,top,,,,,{},False
20,1102,1123,1142,bottom,225.0,214.29,236.84,118.72,"{20: 0.0, 17: 4.55}",True
22,1107,,,bottom,,,,,{},False
17,1108,,,bottom,,,,,{},False
21,1148,,,bottom,,,,,{},False
23,1193,1228,1258,top,138.46,128.57,150.0,71.43,{23: 0.0},True
24,1269,1305,1336,top,134.33,125.0,145.16,65.04,{24: 0.0},True
28,1463,1497,1525,top,145.16,132.35,160.71,101.29,{28: 0.0},True
29,1534,1565,1594,top,150.0,145.16,155.17,34.52,{29: 0.0},True
30,1698,1732,1759,top,147.54,132.35,166.67,127.09,{30: 0.0},True
31,1868,1896,1922,top,166.67,160.71,173.08,47.55,"{31: 0.0, 32: 4.18}",True
32,1872,1910,1939,top,134.33,118.42,155.17,126.73,"{32: 0.0, 31: 4.35}",True
33,1949,1984,2011,top,145.16,128.57,166.67,141.09,"{33: 0.0, 41: 2.57, 39: 22.99}",True
41,2002,,,bottom,,,,,{},False
39,2009,,,top,,,,,{},False
43,2305,2334,2357,top,173.08,155.17,195.65,176.0,{43: 0.0},True
46,2472,,,top,,,,,{},False
47,2570,2608,2639,top,130.43,118.42,145.16,86.26,"{47: 0.0, 48: 1.64}",True
48,2578,2613,2641,top,142.86,128.57,160.71,114.8,"{47: 1.61, 48: 0.0}",True
50,2815,2846,2873,top,155.17,145.16,166.67,79.65,{50: 0.0},True
51,2876,2913,2947,top,126.76,121.62,132.35,31.56,{51: 0.0},True
52,2963,2997,3023,top,150.0,132.35,173.08,156.63,{52: 0.0},True
53,3091,,,top,,,,,{},False
54,3178,3213,3240,top,145.16,128.57,166.67,141.09,"{54: 0.0, 55: 8.11}",True
55,3195,3238,3273,top,115.38,104.65,128.57,68.34,"{54: 8.26, 55: 0.0}",True
57,3303,3337,3367,top,140.62,132.35,150.0,58.82,"{57: 0.0, 56: 14.63, 58: 22.27}",True
56,3324,,,bottom,,,,,{},False
58,3364,3401,3432,top,132.35,121.62,145.16,75.93,"{57: 22.53, 58: 0.0}",True
59,3473,3506,3535,top,145.16,136.36,155.17,64.86,{59: 0.0},True
60,3563,3600,3627,top,140.62,121.62,166.67,166.83,{60: 0.0},True
61,3654,3688,3715,top,147.54,132.35,166.67,127.09,{61: 0.0},True
62,3819,3849,3874,top,163.64,150.0,180.0,120.0,"{62: 0.0, 63: 1.3}",True
63,3821,3852,3880,top,152.54,145.16,160.71,55.55,"{63: 0.0, 62: 1.35}",True
64,4084,4111,4132,top,187.5,166.67,214.29,226.76,"{64: 0.0, 65: 6.26}",True
65,4093,4127,4155,top,145.16,132.35,160.71,101.29,"{65: 0.0, 64: 6.45, 67: 20.34}",True
67,4144,4186,4220,top,118.42,107.14,132.35,74.15,"{65: 20.41, 67: 0.0, 70: 10.07, 68: 12.15}",True
70,4177,4216,4248,top,126.76,115.38,140.62,78.88,"{67: 10.08, 70: 0.0, 68: 2.13}",True
68,4182,,,top,,,,,{},False
72,4267,4304,4336,top,130.43,121.62,140.62,59.39,"{72: 0.0, 73: 12.4}",True
73,4289,,4323,bottom,264.71,,,,{},True
74,4410,,,top,,,,,{},False
75,4421,4531,4487,top,136.36,121.62,155.17,115.69,{75: 0.0},True
80,4605,4638,4665,top,150.0,136.36,166.67,112.23,{80: 0.0},True
85,4691,4726,4752,top,147.54,128.57,173.08,171.17,{85: 0.0},True
86,4846,,,top,,,,,{},False
87,4940,4976,5005,top,138.46,125.0,155.17,104.04,"{87: 0.0, 89: 13.83, 88: 16.34}",True
89,4981,5010,5035,top,166.67,155.17,180.0,99.31,"{89: 0.0, 87: 13.73, 88: 1.63, 90: 16.34}",True
88,4981,,,top,,,,,{},False
90,5018,5050,5079,top,147.54,140.62,155.17,50.16,"{89: 16.42, 90: 0.0}",True
91,5095,5125,5153,top,155.17,150.0,160.71,38.27,{91: 0.0},True
92,5158,,,top,,,,,{},False
93,5232,5267,5296,top,140.62,128.57,155.17,91.73,{93: 0.0},True
94,5357,,,top,,,,,{},False
98,5725,5766,5798,top,123.29,109.76,140.62,96.47,"{98: 0.0, 97: 6.53, 99: 13.66, 100: 1.45}",True
97,5741,,,top,,,,,{},False
99,5765,5806,5836,top,126.76,109.76,150.0,134.15,"{98: 13.61, 99: 0.0, 100: 14.01}",True
100,5789,,,bottom,,,,,{},False
102,5851,5880,5904,top,169.81,155.17,187.5,134.7,{102: 0.0},True
105,5908,5943,5972,top,140.62,128.57,155.17,91.73,{105: 0.0},True
106,6063,6095,6123,top,150.0,140.62,160.71,71.75,"{106: 0.0, 107: 4.98}",True
107,6106,6121,6138,bottom,281.25,300.0,264.71,-207.61,"{106: 6.85, 107: 0.0}",True
108,6156,6191,6220,top,140.62,128.57,155.17,91.73,"{108: 0.0, 109: 16.26}",True
109,6200,6231,6254,top,166.67,145.16,195.65,219.53,"{108: 16.15, 109: 0.0, 110: 14.94}",True
110,6234,6266,6292,top,155.17,140.62,173.08,124.82,"{109: 15.02, 110: 0.0}",True
111,6347,6377,6402,top,163.64,150.0,180.0,120.0,"{111: 0.0, 112: 6.21}",True
112,6361,6391,6418,top,157.89,150.0,166.67,61.73,"{112: 0.0, 111: 6.25}",True
113,6464,6498,6523,top,152.54,132.35,180.0,190.59,{113: 0.0},True
114,6610,6646,6675,top,138.46,125.0,155.17,104.04,{114: 0.0},True
117,6885,6924,6953,top,132.35,115.38,155.17,137.2,"{117: 0.0, 116: 5.91, 118: 13.06, 119: 22.98}",True
116,6902,,,top,,,,,{},False
118,6910,,,bottom,,,,,{},False
119,6950,,,top,,,,,{},False
121,6982,7004,7025,bottom,209.3,204.55,214.29,46.38,{121: 0.0},True
123,7120,7153,7179,top,152.54,136.36,173.08,141.2,{123: 0.0},True
125,7195,7211,7228,bottom,272.73,281.25,264.71,-97.32,"{125: 0.0, 124: 20.11}",True
124,7198,,,top,,,,,{},False
126,7268,,,top,,,,,{},False
127,7433,7464,7491,top,155.17,145.16,166.67,79.65,{127: 0.0},True
128,7495,7518,7537,bottom,214.29,195.65,236.84,216.79,{128: 0.0},True
129,7803,7838,7867,top,140.62,128.57,155.17,91.73,{129: 0.0},True
130,7867,7887,7907,bottom,225.0,225.0,225.0,,"{130: 0.0, 129: 0.91}",True
131,7961,7982,7998,bottom,243.24,214.29,281.25,418.53,{131: 0.0},True
132,8031,8070,8102,top,126.76,115.38,140.62,78.88,{132: 0.0},True
134,8274,8297,8315,top,219.51,195.65,250.0,301.93,"{134: 0.0, 135: 15.19, 133: 15.28}",True
135,8297,,,top,,,,,{},False
133,8298,,,top,,,,,{},False
136,8319,8341,8361,bottom,214.29,204.55,225.0,102.27,{136: 0.0},True
138,8466,8499,8524,top,155.17,136.36,180.0,174.55,{138: 0.0},True
139,8591,8628,8660,top,130.43,121.62,140.62,59.39,{139: 0.0},True
141,8729,8758,8782,top,169.81,155.17,187.5,134.7,{141: 0.0},True
146,9049,,9113,top,140.62,,,,{},True
147,9055,9087,,top,,,,,{},False
148,9092,9125,9150,top,155.17,136.36,180.0,174.55,"{146: 15.62, 148: 0.0, 147: 14.36}",True
150,9184,9215,9243,top,152.54,145.16,160.71,55.55,{150: 0.0},True
151,9248,,,top,,,,,{},False
152,9263,9286,9304,bottom,219.51,195.65,250.0,301.93,{152: 0.0},True
