tracking_id,start_frame,middle_frame,end_frame,first_crossed,speed,start_to_mid_speed,mid_to_end_speed,acceleration,average_vertical_distances,valid
1,66,,,top,,,,,{},False
2,196,230,260,top,140.62,132.35,150.0,58.82,{2: 0.0},True
5,530,556,581,top,176.47,173.08,180.0,27.69,{5: 0.0},True
6,622,,,top,,,,,{},False
9,898,926,952,top,166.67,160.71,173.08,47.55,{9: 0.0},True
10,1226,1255,1281,top,163.64,155.17,173.08,68.86,{10: 0.0},True
13,1587,1621,1651,top,140.62,132.35,150.0,58.82,"{13: 0.0, 14: 22.2}",True
14,1648,1684,1716,top,132.35,125.0,140.62,48.83,"{13: 22.23, 14: 0.0}",True
16,1761,,,top,,,,,{},False
17,2052,2074,2095,top,209.3,204.55,214.29,46.38,{17: 0.0},True
19,2099,,,top,,,,,{},False
20,2431,2469,2503,top,125.0,118.42,132.35,40.98,"{20: 0.0, 19: 9.55}",True
21,2863,,,top,,,,,{},False
22,2935,2964,2990,top,163.64,155.17,173.08,68.86,"{22: 0.0, 21: 11.42}",True
24,3040,3072,3100,top,150.0,140.62,160.71,71.75,"{24: 0.0, 21: 11.3}",True
25,3269,3301,3329,top,150.0,140.62,160.71,71.75,"{25: 0.0, 21: 11.47}",True
29,3358,3392,3422,top,140.62,132.35,150.0,58.82,"{29: 0.0, 21: 9.83, 30: 16.46}",True
30,3403,3435,3465,top,145.16,140.62,150.0,31.25,"{29: 16.42, 30: 0.0, 21: 12.62}",True
31,3764,3798,3828,top,140.62,132.35,150.0,58.82,"{21: 11.6, 31: 0.0}",True
32,3843,3880,3913,top,128.57,121.62,136.36,44.67,"{32: 0.0, 21: 11.38}",True
34,4346,,,top,,,,,{},False
35,4703,4727,4749,top,195.65,187.5,204.55,77.48,"{35: 0.0, 36: 22.61}",True
36,4747,4774,4799,top,173.08,166.67,180.0,53.33,"{35: 22.68, 36: 0.0}",True
37,5041,5073,5101,top,150.0,140.62,160.71,71.75,{37: 0.0},True
41,5173,5203,5230,top,157.89,150.0,166.67,61.73,{41: 0.0},True
42,5269,5296,5319,top,180.0,166.67,195.65,126.02,{42: 0.0},True
43,5602,5632,5659,top,157.89,150.0,166.67,61.73,{43: 0.0},True
44,5701,5731,5758,top,157.89,150.0,166.67,61.73,{44: 0.0},True
45,5858,,,bottom,,,,,{},False
46,6777,6800,6822,top,200.0,195.65,204.55,40.42,{46: 0.0},True
47,7002,7042,7076,top,121.62,112.5,132.35,58.39,"{47: 0.0, 48: 3.74}",True
48,7021,7052,7079,top,155.17,145.16,166.67,79.65,"{47: 3.6, 48: 0.0}",True
49,7083,7110,7134,top,176.47,166.67,187.5,86.81,{49: 0.0},True
50,7279,7311,7340,top,147.54,140.62,155.17,50.16,{50: 0.0},True
51,7584,7611,7636,top,173.08,166.67,180.0,53.33,{51: 0.0},True
