tracking_id,start_frame,middle_frame,end_frame,first_crossed,speed,start_to_mid_speed,mid_to_end_speed,acceleration,average_vertical_distances,valid
2,57,,,top,,,,,{},False
1,76,,,top,,,,,{},False
4,87,150,205,bottom,76.27,71.43,81.82,18.89,"{4: 0.0, 5: 9.47, 6: 18.5}",True
5,136,199,257,bottom,74.38,71.43,77.59,10.62,"{5: 0.0, 4: 9.4, 6: 8.3}",True
6,183,238,284,bottom,89.11,81.82,97.83,34.8,"{6: 0.0, 5: 8.13, 4: 18.23}",True
7,287,352,408,bottom,74.38,69.23,80.36,19.87,"{6: 24.3, 7: 0.0, 10: 2.04, 12: 11.69, 14: 18.47}",True
10,302,361,412,bottom,81.82,76.27,88.24,23.46,"{10: 0.0, 7: 2.02, 12: 10.07, 14: 17.39}",True
12,332,436,521,bottom,47.62,43.27,52.94,11.38,"{12: 0.0, 10: 10.34, 7: 11.84, 14: 2.73, 18: 12.2, 22: 20.74}",True
14,380,448,505,bottom,72.0,66.18,78.95,22.41,"{14: 0.0, 12: 2.74, 7: 18.51, 10: 17.48, 18: 13.39, 22: 22.73}",True
18,456,514,564,bottom,83.33,77.59,90.0,24.83,"{18: 0.0, 14: 13.29, 12: 11.4, 22: 12.04, 24: 14.98}",True
22,500,588,661,bottom,55.9,51.14,61.64,14.39,"{22: 0.0, 18: 12.35, 12: 20.5, 14: 22.95, 24: 1.25, 25: 13.35, 26: 19.66}",True
24,522,591,651,bottom,69.77,65.22,75.0,16.3,"{24: 0.0, 18: 15.12, 12: 22.83, 22: 1.2, 25: 14.19, 26: 21.08}",True
25,596,673,727,bottom,68.7,58.44,83.33,46.1,"{25: 0.0, 22: 13.27, 24: 14.25, 26: 6.37, 27: 17.2}",True
26,638,709,,bottom,,,,,{},False
27,699,765,821,bottom,73.77,68.18,80.36,21.74,"{27: 0.0, 26: 10.53, 25: 17.36, 28: 10.55}",True
28,748,826,891,bottom,62.94,57.69,69.23,17.75,"{28: 0.0, 27: 10.7, 26: 19.82}",True
29,894,969,1030,bottom,66.18,60.0,73.77,22.57,"{28: 23.74, 29: 0.0, 30: 1.26, 35: 5.65, 40: 15.11, 44: 14.73, 51: 16.81}",True
30,899,961,1017,bottom,76.27,72.58,80.36,13.89,"{30: 0.0, 28: 24.22, 29: 1.19, 35: 7.48, 40: 17.15, 44: 17.28, 51: 19.13}",True
35,937,999,1047,bottom,81.82,72.58,93.75,44.1,"{30: 7.43, 35: 0.0, 29: 5.49, 40: 10.55, 44: 9.84, 51: 11.62, 71: 23.01}",True
40,980,1057,1119,bottom,64.75,58.44,72.58,22.8,"{35: 10.8, 30: 17.26, 40: 0.0, 29: 15.15, 44: 2.29, 51: 2.0, 71: 12.03, 72: 12.96, 74: 18.45, 77: 20.36}",True
41,980,,,bottom,,,,,{},False
44,986,1044,1093,bottom,84.11,77.59,91.84,29.08,"{35: 9.86, 44: 0.0, 40: 2.13, 30: 17.15, 29: 14.54, 51: 1.55, 71: 15.19, 72: 16.9, 74: 23.14}",True
51,993,,,bottom,,,,,{},False
71,1046,1123,1206,bottom,56.25,58.44,54.22,-5.09,"{40: 11.99, 71: 0.0, 44: 15.52, 35: 23.64, 72: 1.44, 74: 3.16, 77: 7.61, 87: 15.35}",True
72,1061,1128,1187,bottom,71.43,67.16,76.27,15.44,"{40: 12.9, 72: 0.0, 71: 1.3, 44: 17.02, 74: 4.83, 77: 8.94, 87: 18.12}",True
74,1092,1153,1206,bottom,78.95,73.77,84.91,21.01,"{71: 3.16, 72: 4.7, 74: 0.0, 44: 23.2, 40: 18.32, 77: 4.56, 87: 14.34}",True
77,1099,1184,1263,bottom,54.88,52.94,56.96,5.09,"{71: 7.68, 77: 0.0, 72: 9.0, 40: 20.44, 74: 4.85, 44: 24.76, 87: 6.25, 99: 20.27, 101: 21.85}",True
87,1160,1226,,bottom,,,,,{},False
88,1160,,,bottom,,,,,{},False
99,1246,1308,1362,bottom,77.59,72.58,83.33,19.91,"{77: 19.92, 87: 16.46, 99: 0.0, 101: 2.52, 105: 8.34, 110: 17.92}",True
101,1254,1320,1386,bottom,68.18,68.18,68.18,,"{101: 0.0, 77: 21.69, 99: 2.6, 87: 18.48, 105: 4.91, 110: 14.14}",True
105,1287,1349,1401,bottom,78.95,72.58,86.54,26.84,"{105: 0.0, 101: 4.77, 99: 8.31, 110: 10.2, 111: 9.09, 115: 21.35}",True
110,1333,1402,1462,bottom,69.77,65.22,75.0,16.3,"{105: 10.31, 110: 0.0, 99: 17.93, 111: 0.01, 101: 14.13, 115: 10.36, 118: 11.81}",True
111,1333,,,bottom,,,,,{},False
