tracking_id,start_frame,middle_frame,end_frame,first_crossed,speed,start_to_mid_speed,mid_to_end_speed,acceleration,average_vertical_distances,valid
2,3,,,top,,,,,{},False
1,23,,,bottom,,,,,{},False
3,28,,,top,,,,,{},False
5,33,45,59,top,173.08,187.5,160.71,-47.83,"{5: 0.0, 4: 10.510000228881836, 6: 9.279999732971191, 7: 7.849999904632568}",True
4,36,,,top,,,,,{},False
6,47,64,79,bottom,140.62,132.35,150.0,29.41,"{6: 0.0, 5: 9.069999694824219, 7: 3.859999895095825}",True
7,49,66,81,bottom,140.62,132.35,150.0,29.41,"{6: 3.9000000953674316, 7: 0.0, 5: 7.53000020980835}",True
9,99,111,124,top,180.0,187.5,173.08,-27.74,"{9: 0.0, 10: 40.02000045776367, 11: 43.0}",True
10,120,135,150,top,150.0,150.0,150.0,,"{9: 40.189998626708984, 10: 0.0, 11: 6.900000095367432, 8: 10.039999961853027}",True
11,121,140,159,top,118.42,118.42,118.42,,"{9: 43.25, 10: 7.050000190734863, 11: 0.0, 8: 6.099999904632568}",True
8,125,,,top,,,,,{},False
13,167,,,top,,,,,{},False
14,171,198,222,bottom,88.24,83.33,93.75,10.85,"{14: 0.0, 15: 19.469999313354492, 17: 19.549999237060547, 16: 14.850000381469727}",True
15,173,188,204,top,145.16,150.0,140.62,-14.65,"{14: 18.729999542236328, 15: 0.0, 17: 44.43000030517578}",True
17,202,,,top,,,,,{},False
16,207,,,top,,,,,{},False
21,228,,,top,,,,,{},False
24,238,254,270,top,140.62,140.62,140.62,,"{25: 20.079999923706055, 24: 0.0, 22: 3.0799999237060547, 23: 42.27000045776367, 27: 0.15000000596046448}",True
22,238,,,top,,,,,{},False
25,239,263,284,bottom,100.0,93.75,107.14,15.94,"{25: 0.0, 24: 19.649999618530273, 23: 21.3799991607666, 27: 28.0}",True
23,264,,,top,,,,,{},False
27,268,287,304,bottom,125.0,118.42,132.35,20.49,"{24: 1.9500000476837158, 27: 0.0, 25: 27.770000457763672, 28: 10.1899995803833, 26: 12.4399995803833}",True
28,288,311,332,top,102.27,97.83,107.14,11.09,"{28: 0.0, 27: 11.050000190734863, 26: 9.920000076293945, 29: 12.800000190734863}",True
26,295,,,top,,,,,{},False
29,312,327,342,bottom,150.0,150.0,150.0,,"{28: 14.729999542236328, 29: 0.0}",True
30,347,368,387,bottom,112.5,107.14,118.42,14.84,"{30: 0.0, 31: 21.1200008392334, 32: 15.960000038146973, 34: 9.399999618530273}",True
31,348,364,381,top,136.36,140.62,132.35,-12.16,"{30: 20.530000686645508, 31: 0.0, 32: 13.039999961853027, 34: 36.400001525878906}",True
32,360,382,401,bottom,109.76,102.27,118.42,21.25,"{32: 0.0, 30: 16.09000015258789, 31: 12.8100004196167, 34: 17.229999542236328, 33: 12.739999771118164, 36: 34.20000076293945, 38: 5.059999942779541}",True
34,373,390,407,top,132.35,132.35,132.35,,"{32: 19.579999923706055, 30: 9.680000305175781, 31: 36.2400016784668, 34: 0.0, 33: 24.309999465942383, 36: 10.079999923706055, 38: 25.989999771118164}",True
33,390,,,top,,,,,{},False
36,392,409,425,bottom,136.36,132.35,140.62,12.93,"{36: 0.0, 32: 33.88999938964844, 34: 10.1899995803833, 38: 19.31999969482422, 35: 10.619999885559082}",True
38,395,406,418,top,195.65,204.55,187.5,-35.51,"{36: 18.559999465942383, 38: 0.0, 32: 8.970000267028809, 34: 25.280000686645508}",True
35,418,,,top,,,,,{},False
43,431,447,464,top,136.36,140.62,132.35,-12.16,"{43: 0.0, 42: 15.25}",True
42,452,,,bottom,,,,,{},False
45,471,,,bottom,,,,,{},False
44,471,,,top,,,,,{},False
47,488,,,bottom,,,,,{},False
46,488,,,top,,,,,{},False
48,491,505,518,bottom,166.67,160.71,173.08,23.77,"{48: 0.0, 49: 20.770000457763672, 50: 1.940000057220459}",True
49,493,504,515,top,204.55,204.55,204.55,,"{48: 19.770000457763672, 49: 0.0}",True
50,516,527,540,top,187.5,204.55,173.08,-60.52,"{50: 0.0, 48: 3.940000057220459}",True
53,550,565,581,top,145.16,150.0,140.62,-14.65,"{53: 0.0, 51: 20.6200008392334}",True
51,566,,,bottom,,,,,{},False
54,574,,,top,,,,,{},False
52,575,,,top,,,,,{},False
